Gene.stable.ID	Gene.name	Gene.type	Gene.description	Chromosome.scaffold.name	SRR7586681	SRR7586682	SRR7586683	SRR7586684	SRR7586685	SRR7586686
ENSG00000000003	TSPAN6	protein_coding	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	72.7208557789272	51.9488387448495	86.941488569959	98.8178681784294	80.5301982015665	112.860230800017
ENSG00000000419	DPM1	protein_coding	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	20	22.9411713115008	18.222363978329	32.4231646760412	33.1487602315558	26.9918695299498	37.9506047658205
ENSG00000000457	SCYL3	protein_coding	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	1	11.5148736312552	11.4770690250249	13.2909578437036	13.5108690991175	10.244438930509	14.5131766444112
ENSG00000000460	C1orf112	protein_coding	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	1	7.52895583582072	6.94664704146243	4.74072381686242	4.39888761366617	8.28463322206381	4.05647794409008
ENSG00000001036	FUCA2	protein_coding	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	6	31.7987664124663	26.2764475046622	34.1162803249206	39.5114369584658	30.4660705585573	44.1705376134253
ENSG00000001084	GCLC	protein_coding	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	17.8037661529408	16.0074910085873	18.7935837025617	23.3298146653367	19.0635646185124	30.4686565578321
ENSG00000001167	NFYA	protein_coding	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	44.996583112905	39.5656853231121	27.9364082065107	30.9493164247227	43.2938897411077	35.4265740450533
ENSG00000001460	STPG1	protein_coding	sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	11.2491457782263	11.3763929809457	11.0899075001603	12.9610081474093	11.2243417847316	10.0961228830686
ENSG00000001461	NIPAL3	protein_coding	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	27.2813929109739	27.7865881658497	30.05280276761	38.804472877698	28.7735110830818	36.1477256795582
ENSG00000001497	LAS1L	protein_coding	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	X	23.5612029685684	25.1690110197914	29.0369333782823	20.1092005196168	23.2504222683726	28.2150577000043
ENSG00000001561	ENPP4	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	6	8.41471534591728	9.06084396712491	6.94177416040568	8.01225958203482	13.6295578814598	9.1045393856244
ENSG00000001617	SEMA3F	protein_coding	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3	50.0454123204554	56.0765565520953	28.1057197713986	34.1699305704426	42.3139868868851	24.4290116188536
ENSG00000001626	CFTR	protein_coding	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	7	6.20031657067589	3.42298549869163	3.64019864509079	6.28412516238025	6.41390959127521	10.0961228830686
ENSG00000001629	ANKIB1	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	58.8144314704113	49.0292334665537	45.6294667373008	55.1431982998867	62.2683722819635	57.3315549431398
ENSG00000001630	CYP51A1	protein_coding	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	7	12.4892090923614	10.5709846283124	7.95764354973335	12.3325956311712	6.14666335830541	9.19468333993751
ENSG00000001631	KRIT1	protein_coding	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	7	4.07449374644416	3.02028132237497	3.64019864509079	4.87019700084469	4.98859634876961	6.49036471054412
ENSG00000002016	RAD52	protein_coding	RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]	12	9.5662027090428	11.2757169368666	8.97351293906101	8.56212053374309	9.08637192097322	8.47353170543261
ENSG00000002330	BAD	protein_coding	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11	30.5587030983312	35.236615427708	27.4284735118468	28.1214601016516	18.9744825408558	21.2739732178946
ENSG00000002549	LAP3	protein_coding	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	4	28.6986081271284	21.8467015651789	30.6453932447178	34.0913790059129	28.6844290054253	44.711401339304
ENSG00000002586	CD99	protein_coding	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	X	127.992249208952	149.403249413482	185.480819334742	169.592827819737	114.648633944044	169.200202245713
ENSG00000002587	HS3ST1	protein_coding	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	4	6.82034822774348	5.93988660067077	4.91003538175036	6.12702203332074	4.45410388283001	5.67906912172611
ENSG00000002746	HECW1	protein_coding	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	7	11.4262976802456	16.8128993612207	4.4867564695305	5.89136733973148	15.3221173569352	2.7944625837065
ENSG00000002834	LASP1	protein_coding	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	17	225.248643417554	218.265663563631	310.178786874713	310.200128327995	183.330915817283	282.150577000043
ENSG00000002919	SNX11	protein_coding	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	17	17.6266142509215	25.2696870638706	22.7724054774284	21.0518192939738	17.7273334536634	18.1189348169357
ENSG00000002933	TMEM176A	protein_coding	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	7	3.9859177954345	4.02704176316663	13.2063020612596	10.3688065179274	3.20695479563761	8.02281193386704
ENSG00000003056	M6PR	protein_coding	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	12	48.5396211532912	41.6798822487746	73.0579402491476	62.7627000592727	51.8457691961413	74.9997699885099
ENSG00000003096	KLHL13	protein_coding	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	X	19.6638611241435	18.1216879342498	13.2063020612596	15.8674160350101	21.2015344822708	16.6766315479259
ENSG00000003137	CYP26B1	protein_coding	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	2	4.7831013545214	7.45002726185826	5.33331429397022	5.65571264614222	4.98859634876961	5.588925167413
ENSG00000003147	ICA1	protein_coding	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	7	3.27731018735726	3.5236615427708	4.40210068708653	4.24178448460667	4.63226803814321	5.49878121309988
ENSG00000003249	DBNDD1	protein_coding	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	16	19.8410130261628	24.9676589316331	13.3756136261475	13.039559711939	12.6496550272372	7.84252402524082
