geneID	Chr	Strand	Gene.name	Gene.type	Description	NExons	gene.LR	P.Value	FDR
ENSG00000240184	5	+	PCDHGC3	protein_coding	protocadherin gamma subfamily C, 3 [Source:HGNC Symbol;Acc:HGNC:8716]	16	1217.88602441404	2.35330573352552e-250	3.46665467605644e-246
ENSG00000247828	5	+	TMEM161B-AS1	lncRNA	TMEM161B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43839]	38	538.18651058485	3.24323845809438e-90	2.38880728630941e-86
ENSG00000081842	5	+	PCDHA6	protein_coding	protocadherin alpha 6 [Source:HGNC Symbol;Acc:HGNC:8672]	7	411.714358666317	8.46611777855794e-86	4.1571460331979e-82
ENSG00000148053	9	+	NTRK2	protein_coding	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	28	437.398528925511	1.14949704934848e-75	4.23331025848812e-72
ENSG00000111642	12	-	CHD4	protein_coding	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	137	688.556468622731	9.69333928236595e-75	2.85585161937066e-71
ENSG00000143933	2	-	CALM2	protein_coding	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	28	386.344514722586	2.99515421671739e-65	7.35360279441065e-62
ENSG00000264772	17	+	AC016876.2	lncRNA	novel transcript	12	272.302750089863	5.87404284697077e-52	1.23615035969609e-48
ENSG00000175061	17	+	SNHG29	lncRNA	small nucleolar RNA host gene 29 [Source:HGNC Symbol;Acc:HGNC:28619]	78	416.661744131411	4.31271018466059e-48	7.94131671627939e-45
ENSG00000101901	X	+	ALG13	protein_coding	ALG13 UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:30881]	80	398.287418636516	4.08229198883959e-44	6.68180480973289e-41
ENSG00000108433	17	+	GOSR2	protein_coding	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	87	398.886018278198	8.50521978737613e-42	1.25290392687838e-38
