Gene.stable.ID	Gene.name	Gene.type	Gene.description	Chromosome.scaffold.name	logFC	logCPM	PValue	FDR
ENSG00000130600	H19	lncRNA	H19 imprinted maternally expressed transcript [Source:HGNC Symbol;Acc:HGNC:4713]	11	-8.49143415072764	8.61845901207813	2.83881282948724e-252	4.71356482208062e-248
ENSG00000106153	CHCHD2	protein_coding	coiled-coil-helix-coiled-coil-helix domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21645]	7	-13.3914840707264	5.88770430748122	5.14474827241527e-177	4.27117001575916e-173
ENSG00000022556	NLRP2	protein_coding	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	19	-7.39988826017988	4.13987049850465	6.41306740175859e-100	3.54941903795999e-96
ENSG00000275126	HIST1H4L	protein_coding	histone cluster 1 H4 family member l [Source:HGNC Symbol;Acc:HGNC:4791]	6	-11.0536362239713	3.55590041730445	3.46163445304952e-98	1.43692446146086e-94
ENSG00000275379	HIST1H3I	protein_coding	histone cluster 1 H3 family member i [Source:HGNC Symbol;Acc:HGNC:4771]	6	-12.1320456800349	4.62879630335839	1.61908575168711e-97	5.37665996420255e-94
ENSG00000155008	APOOL	protein_coding	apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]	X	9.26832496816454	3.72268220674565	5.96029070388743e-95	1.64941111412245e-91
ENSG00000124491	F13A1	protein_coding	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	6	4.4971232098591	5.85790508211156	3.10412316609187e-93	7.36298014996992e-90
ENSG00000121691	CAT	protein_coding	catalase [Source:HGNC Symbol;Acc:HGNC:1516]	11	-6.84498868233198	3.38276631227023	4.88353924553866e-82	1.01357857041155e-78
ENSG00000177932	ZNF354C	protein_coding	zinc finger protein 354C [Source:HGNC Symbol;Acc:HGNC:16736]	5	-5.58440108154451	3.49998154014928	7.48452125932576e-76	1.38081101099828e-72
ENSG00000197629	MPEG1	protein_coding	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	11	4.28394005673666	4.01077393712317	1.96290776732135e-69	3.25921205686037e-66
ENSG00000173369	C1QB	protein_coding	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	1	4.00621699570828	4.63443226226768	5.34019920885686e-66	8.06078796944176e-63
ENSG00000173372	C1QA	protein_coding	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	1	3.95133760484559	4.50906262455246	6.81527480964041e-66	9.43006857827245e-63
ENSG00000189223	PAX8-AS1	lncRNA	PAX8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49271]	2	-4.66068548637122	3.34210992658673	1.79103492788181e-62	2.28756491865766e-59
